host_id,host_name,host_since_year,host_since_anniversary,Customer Since,Age in years,id,neighbourhood_cleansed,city,city_translated,state,state_translated,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,customers @ 50% review rate,"Daily Rev per 2 guests, unless limited to 1",Min Nights,Total Rev,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,zipcode_prefix,zipcode_dummy,Zipcode_mapped_values
1662,Chloe,2008,8/11,8/11/08,8.93,304958,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.37302064,4.868460923,Apartment,Entire home/apt,4,2,2,2,Real Bed,130,4,10,4,22,130,520,"11,440",within a day,0.8,11,98,10,10,9,10,10,10,1053,29,West
3718,Britta,2008,10/19,10/19/08,8.74,103026,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1053,Netherlands,52.36938767,4.866972319,Apartment,Entire home/apt,4,1,1,1,Real Bed,95,2,25,3,30,95,285,"8,550",within a few hours,1,15,92,9,9,10,10,9,9,1053,29,West
4716,Stefan,2008,11/30,11/30/08,8.62,550017,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36190508,4.888050037,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,10,2,40,110,220,"8,800",within a day,1,20,97,10,10,10,10,10,10,1017,10,City Center
5271,Tyler,2008,12/17,12/17/08,8.57,4728389,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1016 AM,Netherlands,52.37153345,4.887057291,Apartment,Entire home/apt,6,1,2,2,Real Bed,250,2,25,2,2,250,500,"1,000",within a day,0.89,1,100,8,10,8,10,10,6,1016,9,City Center
5271,Tyler,2008,12/17,12/17/08,8.57,5181918,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1016 AM,Netherlands,52.3704458,4.889069478,Apartment,Private room,2,1,1,1,Futon,115,1,0,1,8,115,115,920,within a day,0.89,4,95,9,9,9,10,10,9,1016,9,City Center
5988,Ramona,2009,1/4,1/4/09,8.53,2774924,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1071 VV,Netherlands,52.35564811,4.885834819,House,Private room,2,1,1,1,Real Bed,80,1,0,3,66,80,240,"15,840",within an hour,1,33,95,9,10,10,10,10,9,1071,46,South
9616,Laura,2009,3/9,3/9/09,8.35,23651,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1078,Netherlands,52.34591098,4.891982605,Apartment,Private room,3,1,1,1,Real Bed,80,2,15,6,72,80,480,"34,560",within a day,1,36,96,9,10,10,10,9,9,1078,53,South
14589,Rutger,2009,4/23,4/23/09,8.23,738245,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015,Netherlands,52.37935439,4.883276386,House,Entire home/apt,2,1,1,1,Real Bed,90,1,0,3,16,90,270,"4,320",N/A,N/A,8,93,10,9,9,9,10,9,1015,8,City Center
15618,Shelly,2009,5/2,5/2/09,8.2,51969,De Pijp - Rivierenbuurt,De Pijp,De Pijp,North Holland,North Holland,1072,Netherlands,52.35748276,4.887099593,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,100,2,30,7,6,100,700,"4,200",within a few hours,1,3,95,10,9,10,10,10,10,1072,47,South
21669,Mark,2009,6/15,6/15/09,8.08,8061,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1056 TM,Netherlands,52.371207,4.857291017,Apartment,Entire home/apt,3,1,2,2,Real Bed,95,1,0,3,4,95,285,"1,140",within a day,0.75,2,100,10,10,10,10,10,10,1056,32,West
